,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",5988444,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Circles,"Post Malone",3794904,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG
3,China,"Anuel AA",3647132,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
4,Ransom,"Lil Tecca",3452217,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
5,"Goodbyes (Feat. Young Thug)","Post Malone",2978436,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
6,"Beautiful People (feat. Khalid)","Ed Sheeran",2977836,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
7,"Dance Monkey","Tones And I",2801062,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"bad guy","Billie Eilish",2771674,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
9,"I Don't Care (with Justin Bieber)","Ed Sheeran",2648025,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
10,"Someone You Loved","Lewis Capaldi",2574797,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Lover,"Taylor Swift",2524771,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
12,Lalala,Y2K,2514455,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
13,"How Do You Sleep?","Sam Smith",2495853,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
14,"Old Town Road - Remix","Lil Nas X",2445272,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
15,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",2419743,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
16,Callaita,"Bad Bunny",2377377,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
17,"boyfriend (with Social House)","Ariana Grande",2174625,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
18,"LA CANCIÓN","J Balvin",2062194,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
19,"Truth Hurts",Lizzo,2055244,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
20,"sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1936094,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
21,"No Me Conoce - Remix","Jhay Cortez",1921696,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
22,"Yo x Ti, Tu x Mi",ROSALÍA,1870370,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
23,"Otro Trago - Remix",Sech,1852317,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
24,"No Guidance (feat. Drake)","Chris Brown",1800519,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
